uf_onde_mora,faixa_salarial,sql,nao_utiliza_linguagem,python,linguagens_estatisticas_analise_dados,linguagens_web,linguagens_empresariais,linguagens_sistemas,salario_medio
MG,de R$ 12.001/mês a R$ 16.000/mês,1.0,0.0,1.0,0,0,0,0,14000.5
ES,de R$ 6.001/mês a R$ 8.000/mês,1.0,0.0,1.0,0,0,0,0,7000.5
SP,de R$ 6.001/mês a R$ 8.000/mês,1.0,0.0,1.0,1,0,0,0,7000.5
SP,Não informado,0.0,0.0,0.0,0,0,0,0,10576.036405723906
MG,de R$ 4.001/mês a R$ 6.000/mês,1.0,0.0,1.0,0,0,0,0,5000.5
RJ,de R$ 8.001/mês a R$ 12.000/mês,1.0,0.0,1.0,0,0,0,0,10000.5
SP,de R$ 4.001/mês a R$ 6.000/mês,1.0,0.0,0.0,0,0,0,0,5000.5
SP,de R$ 20.001/mês a R$ 25.000/mês,0.0,0.0,0.0,0,0,0,0,22500.5
RJ,Não informado,0.0,0.0,0.0,0,0,0,0,10576.036405723906
SP,Não informado,0.0,0.0,0.0,0,0,0,0,10576.036405723906
SE,de R$ 1.001/mês a R$ 2.000/mês,1.0,0.0,1.0,0,0,0,0,1500.5
PE,Não informado,0.0,0.0,0.0,0,0,0,0,10576.036405723906
RS,de R$ 3.001/mês a R$ 4.000/mês,0.0,1.0,0.0,1,0,0,0,3500.5
SP,de R$ 16.001/mês a R$ 20.000/mês,0.0,0.0,0.0,0,0,0,0,18000.5
DF,de R$ 12.001/mês a R$ 16.000/mês,0.0,0.0,0.0,0,0,0,0,14000.5
MG,de R$ 8.001/mês a R$ 12.000/mês,0.0,0.0,0.0,0,0,0,0,10000.5
RJ,de R$ 4.001/mês a R$ 6.000/mês,1.0,0.0,0.0,1,0,0,0,5000.5
MG,de R$ 2.001/mês a R$ 3.000/mês,1.0,0.0,0.0,1,0,0,0,2500.5
PR,de R$ 2.001/mês a R$ 3.000/mês,1.0,0.0,1.0,0,1,1,0,2500.5
RJ,de R$ 8.001/mês a R$ 12.000/mês,0.0,0.0,0.0,0,0,0,0,10000.5
PB,de R$ 12.001/mês a R$ 16.000/mês,1.0,0.0,1.0,0,0,0,0,14000.5
SP,de R$ 12.001/mês a R$ 16.000/mês,1.0,0.0,1.0,0,0,0,0,14000.5
PR,Acima de R$ 40.001/mês,1.0,0.0,1.0,0,0,0,0,50000.0
MG,de R$ 8.001/mês a R$ 12.000/mês,0.0,0.0,0.0,0,0,0,0,10000.5
SP,de R$ 6.001/mês a R$ 8.000/mês,1.0,0.0,1.0,0,0,0,0,7000.5
NI,de R$ 1.001/mês a R$ 2.000/mês,1.0,0.0,0.0,0,0,1,1,1500.5
MG,de R$ 12.001/mês a R$ 16.000/mês,0.0,0.0,0.0,0,0,0,0,14000.5
SC,de R$ 8.001/mês a R$ 12.000/mês,1.0,0.0,1.0,0,0,0,0,10000.5
